Event Name,Event Start,Event End,Event Location,Event Description
Boys Basketball vs. White House Heritage,2025-01-21 06:00 PM,2025-01-21 07:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","2025 Area 14 Boys Basketball Quarterfinals
"
Soccer Tryouts (Girls Only),2025-01-27 03:00 PM,2025-01-27 05:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Soccer Tryouts (Boys Only),2025-01-28 03:00 PM,2025-01-28 05:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Fall/Winter Athletic Awards Night,2025-02-10 05:00 PM,2025-02-10 06:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
RCMSAA Baseball Jamboree,2025-02-15,2025-02-16,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","
"
RCMSAA Soccer Jamboree,2025-02-22,2025-02-23,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","
"
Softball @ WH-Heritage,2025-02-24 05:00 PM,2025-02-24 07:00 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","
"
Baseball @ Jo Byrns,2025-02-25 04:30 PM,2025-02-25 06:30 PM,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","
"
Baseball vs. Jo Byrns,2025-02-26 04:00 PM,2025-02-26 06:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Makeup from rainout on February 24
"
Softball @ Innovation Academy,2025-02-26 04:30 PM,2025-02-26 06:30 PM,,"
"
Soccer @ Greenbrier,2025-02-26 05:00 PM,2025-02-26 08:00 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","Girls at 5pm; Boys at 6:30pm
"
Baseball @ Kenwood,2025-02-28 06:00 PM,2025-02-28 08:00 PM,"Kenwood High School (251 E Pine Mountain Rd, Clarksville, TN 37042, United States)","
"
RCMSSAA Soccer Jamboree,2025-03-01,2025-03-02,East Robertson,"Coopertown vs. East Robertson (Girls)- 11am
Coopertown vs. East Robertson (Boys)- 11:45am
Innovation Academy vs. Greenbrier (Girls)- 12:30pm
Innovation Academy vs. Greenbrier (Boys)- 1:15pm
WH-Heritage vs. East Robertson (Girls)- 2pm
WH-Heritage vs. East Robertson (Boys)- 2:45p
"
Softball @ Greenbrier,2025-03-03 04:00 PM,2025-03-03 06:00 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","
"
Baseball vs. Greenbrier,2025-03-03 04:00 PM,2025-03-03 06:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Baseball @ Greenbrier,2025-03-04 05:00 PM,2025-03-04 07:00 PM,"Louise Martin Park (Kelly Willis And Old Greenbrier Pike, Greenbrier, Tn 37073, United States)","
"
Soccer vs. Innovation Academy,2025-03-05 05:00 PM,2025-03-05 08:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Girls play at 5pm; Boys play at 6:30pm
"
Baseball @ Davidson Academy,2025-03-06 06:00 PM,2025-03-06 08:00 PM,"Davidson Academy (1414 Old Hickory Blvd, Nashville, TN 37207, United States)","
"
Softball @ East Robertson,2025-03-10 04:30 PM,2025-03-10 06:30 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","JV to follow
"
Soccer @ East Robertson,2025-03-10 05:00 PM,2025-03-10 08:00 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","Girls play at 5pm; Boys play at 6:30pm
"
Soccer vs. Greenbrier,2025-03-12 05:00 PM,2025-03-12 08:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Girls play at 5pm; Boys play at 6:30pm
"
Softball vs. WH-Heritage,2025-03-12 05:00 PM,2025-03-12 07:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Baseball @ East Robertson,2025-03-12 05:00 PM,2025-03-12 07:00 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","
"
Baseball vs. East Robertson,2025-03-13 04:00 PM,2025-03-13 06:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Baseball vs. Sycamore,2025-03-14 04:15 PM,2025-03-14 06:15 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Softball vs. Innovation Academy,2025-03-24 04:30 PM,2025-03-24 06:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Baseball vs. Innovation Academy,2025-03-24 04:30 PM,2025-03-24 06:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
