Event Name,Event Start,Event End,Event Location,Event Description
Read20 Reward for November,2024-12-12 08:00 AM,2024-12-12 08:30 AM,,"Students who met their goal for November will make snowglobes during library rotation.
"
PJ day,2024-12-13 08:00 AM,2024-12-13 08:30 AM,,"
"
All Library Books Due,2024-12-13 08:00 AM,2024-12-13 08:30 AM,,"
"
2nd Grade Field Trip,2024-12-17 08:00 AM,2024-12-17 08:30 AM,,"
"
Craft with parents Day [In-person],2024-12-18 08:00 AM,2024-12-18 08:30 AM,,"Come make a craft with your student!
Kindergarten: 9 - 10:40
First: 12 - 1
Second: 10:30 - 11:30
"
Yearbooks on Sale Now,2025-01-17 09:00 AM,2025-01-17 09:30 AM,,"Order form and money for yearbook are due to the school for cash/check payment. Online orders are due March 15. See flyer for more information!

"
Jump Rope for Heart Kickoff Presentation [In-person],2025-02-07 08:00 AM,2025-02-07 08:30 AM,,"A jump rope team from Beech will come perform for us!
"
Read20 reward for January,2025-02-10 08:00 AM,2025-02-10 08:30 AM,,"Reward for those who met Read20 goal for January during library rotation.
"
Jump Rope for Heart End date,2025-02-14 08:00 AM,2025-02-14 08:30 AM,,"
"
Valentines Parties and 100 Day of School Celebration,2025-02-14 08:00 AM,2025-02-14 08:30 AM,,"More information coming soon!
"
Parent Teacher Conferences [In-person],2025-02-18 03:30 PM,2025-02-18 06:30 PM,,"
"
"Ready, Set, Read! [In-person]",2025-02-27 04:00 PM,2025-02-27 05:30 PM,,"Join us for a night of reading to kick off Read Across America week and our Readathon!
"
Wear Red,2025-02-28 08:00 AM,2025-02-28 08:30 AM,,"Bring in a dollar and wear red. We are collecting money for the American Heart Association. This is one way you can help our students raise money for a worthy cause.

"
Readathon Starts,2025-03-03 08:00 AM,2025-03-03 08:30 AM,,"Read, log minutes, and send texts/emails to family/friends to gather donations to encourage your student to keep reading and support our library!
"
Read Across America Week ,2025-03-03 08:00 AM,2025-03-03 08:30 AM,,"
"
Special Reading Event,2025-03-04 08:00 AM,2025-03-04 08:30 AM,,"Books read at lunch to kick off the week!

"
Crazy Hat Day,2025-03-04 08:00 AM,2025-03-04 08:30 AM,,"Wear your favorite hat!
"
Special Reading Events,2025-03-05 08:00 AM,2025-03-05 08:30 AM,,"SHS Football players and JROTC students will visit WES throughout the day to read to students!
"
Where Will You Go?,2025-03-05 08:00 AM,2025-03-05 08:30 AM,,"wear a college shirt/jersey or dress as what you want to be when you grow up

"
Tricky Thursday,2025-03-06 08:00 AM,2025-03-06 08:30 AM,,"Wear mismatched clothing, stripes with polka dots, shirts backwards, different shoes, or dress as someone else

"
Special Reading Event,2025-03-07 08:00 AM,2025-03-07 08:30 AM,,"Central Office staff and some of our retired teachers will visit to read a book to classes.
"
Favorite Book Character Day,2025-03-07 08:00 AM,2025-03-07 08:30 AM,,"dress up as your favorite book character

"
Read20 Reward for February,2025-03-10 08:00 AM,2025-03-10 08:30 AM,,"Reward for meeting Read20 goal for February during library rotation.
"
Behavior Parties,2025-03-13 08:00 AM,2025-03-13 08:30 AM,,"
"
Yearbook Order Forms due!,2025-03-14 08:00 AM,2025-03-14 08:30 AM,,"Order form and money for yearbook are due to the school for cash/check payment. Online orders are due March 15. See flyer for more information!
"
Readathon Ends,2025-03-17 08:00 AM,2025-03-17 08:30 AM,,"
"
Wear your favorite Spring colors for $1,2025-03-26 08:00 AM,2025-03-26 08:30 AM,,"Bring a $1 for the Stephanie Mason Scholarship fundraiser and wear your favorite Spring colors.
"
Spring Pictures,2025-04-01 08:00 AM,2025-04-01 08:30 AM,,"Prepay ONLY
"
Read20 Reward for March,2025-04-07 08:00 AM,2025-04-07 08:30 AM,,"Reward for those who met their Read20 goal for March during library rotation.
"
Bike Giveaway,2025-04-16 08:00 AM,2025-04-16 08:30 AM,,"The Rotary Club will be giving away a bike to 2 lucky 2nd graders!
"
2nd Grade Field Trip,2025-04-17 08:00 AM,2025-04-17 08:30 AM,,"
"
BOGO Book Fair,2025-04-21 08:00 AM,2025-04-21 08:30 AM,,"Everything at our Spring Book Fair is Buy One Get One Free!
"
Blue Green Yellow Day,2025-04-22 08:00 AM,2025-04-22 08:30 AM,,"
"
Family Night!,2025-04-24 08:00 AM,2025-04-24 08:30 AM,,"
"
1st Grade field trip,2025-04-25 08:00 AM,2025-04-25 08:30 AM,,"
"
Universal Screener,2025-05-06 10:30 AM,2025-05-06 01:30 PM,,"
"
Tours,2025-05-15 08:00 AM,2025-05-15 08:30 AM,,"BES tours WES and 2nd grade tours CPES
"
Field Day,2025-05-16 08:00 AM,2025-05-16 08:30 AM,,"
"
