Event Name,Event Start,Event End,Event Location,Event Description
MS Basketball at Greenbrier Middle,2024-12-16 04:00 PM,2024-12-16 08:00 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","JV @ 4:00 and Varsity @ 6
"
HS Wrestling @ Greenbrier & Watertown,2024-12-17 04:30 PM,2024-12-17 06:30 PM,"Greenbrier High School (126 Cuniff Dr, Greenbrier, TN 37073, United States)","
"
HS Basketball Vs. Pearl-Cohn,2024-12-17 06:00 PM,2024-12-17 07:30 PM,,"
"
HS Wrestling @ Dickson County TBA,2024-12-19 08:00 AM,2024-12-19 08:30 AM,"Creekwood High School (3499 Highway 47 N, Charlotte, TN 37036, United States)","
"
MS Basketball vs Jo Byrns at Home [In-person],2024-12-19 04:00 PM,2024-12-19 08:00 PM,,"JV @ 4:00 and Varsity @ 6
"
MS Wrestling vs. Dickson DH/HS at TBD,2024-12-19 05:30 PM,2024-12-19 07:30 PM,Dickson Co High School,"
"
HS Wrestling - County Cup @ Springfield TBA,2024-12-20 08:00 AM,2024-12-20 08:30 AM,"Springfield High School (5240 Highway 76 E, Springfield, TN 37172, United States)","
"
HS Basketball - H&H Holiday Hoopfest @ Logan County TBD,2024-12-20 08:00 AM,2024-12-20 08:30 AM,"Logan County High School (2200 Bowling Green Rd, Russellville, KY 42276, United States)","
"
HS Wrestling - Bruise Bros. Tournament @ Springfield TBA,2024-12-21 08:00 AM,2024-12-21 08:30 AM,"Springfield High School (5240 Highway 76 E, Springfield, TN 37172, United States)","
"
HS Basketball- H&H Holiday Hoopfest @ Logan CountyTBD,2024-12-21 08:00 AM,2024-12-21 08:30 AM,"Logan County High School (2200 Bowling Green Rd, Russellville, KY 42276, United States)","
"
HS Basketball - Big M Christmas Classic - ER TBD,2024-12-27 08:00 AM,2024-12-27 08:30 AM,,"
"
HS Basketball - Big M Christmas Classic - ER TBD,2024-12-28 08:00 AM,2024-12-28 08:30 AM,,"
"
Big M Christmas Classic - ER TBD,2024-12-30 08:00 AM,2024-12-30 08:30 AM,,"
"
HS Basketball Vs. Clay County,2025-01-03 02:00 PM,2025-01-03 03:30 PM,,"
"
MS Basketball vs Portland West at Home [In-person],2025-01-06 04:30 PM,2025-01-06 08:30 PM,,"JV @ 4:30 (Girls) and Varsity @ 6
"
HS JV Basketball Vs. Liberty Creek,2025-01-07 03:30 PM,2025-01-07 05:00 PM,,"
"
HS Wrestling @ White House & Liberty Creek,2025-01-07 04:30 PM,2025-01-07 06:30 PM,"White House High School (508 Tyree Springs Rd, White House, TN 37188, United States)","
"
HS Basketball @ Liberty Creek,2025-01-07 06:00 PM,2025-01-07 07:30 PM,,"
"
HS Wrestling @ Greenbrier,2025-01-08 01:30 PM,2025-01-08 03:00 PM,"Greenbrier High School (126 Cuniff Dr, Greenbrier, TN 37073, United States)","
"
HS Wrestling Vs. Gallatin & Stratford TBA,2025-01-09 08:00 AM,2025-01-09 08:30 AM,,"
"
MS Basketball at White House Middle,2025-01-09 04:00 PM,2025-01-09 08:00 PM,,"JV @ 4:00 and Varsity @ 6
"
HS JV Basketball Vs. Jo Byrns,2025-01-10 03:30 PM,2025-01-10 05:00 PM,,"
"
HS Basketball Vs. Jo Byrns,2025-01-10 06:00 PM,2025-01-10 07:30 PM,,"
"
HS Wrestling - Areil Rojas-Avila Memorial @ Sycamore TBA,2025-01-11 08:00 AM,2025-01-11 08:30 AM,"Sycamore High School (1021 Old Clarksville Pike, Pleasant View, TN 37146, United States)","
"
HS Freshman Basketball - Springfield Playday @ Springfield TBD,2025-01-11 08:00 AM,2025-01-11 08:30 AM,"Springfield High School (5240 Highway 76 E, Springfield, TN 37172, United States)","
"
RCMSSAA - 1st Round at Greenbrier Middle (Time TBD),2025-01-13 04:00 PM,2025-01-13 04:30 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","
"
HS JV Basketball @ Heritage,2025-01-14 03:30 PM,2025-01-14 05:00 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","
"
HS Wrestling Vs. Warren Co./Henderson/FCA,2025-01-14 05:00 PM,2025-01-14 07:00 PM,,"
"
HS Basketball @ Heritage,2025-01-14 06:00 PM,2025-01-14 07:30 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","
"
HS Wrestling @ Pope John Paul II TBA,2025-01-16 08:00 AM,2025-01-16 08:30 AM,,"
"
RCMSSAA - Semi-Finals at Greenbrier Middle (Time TBD),2025-01-16 04:00 PM,2025-01-16 04:30 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","
"
HS Wrestling Vs. Greenbrier,2025-01-17 01:30 PM,2025-01-17 03:00 PM,,"
"
HS JV Basketball @ Merrol Hyde,2025-01-17 03:45 PM,2025-01-17 05:15 PM,"Merrol Hyde Magnet School (128 Township Dr, Hendersonville, TN 37075, United States)","
"
HS Basketball @ Merrol Hyde,2025-01-17 06:00 PM,2025-01-17 07:30 PM,"Merrol Hyde Magnet School (128 Township Dr, Hendersonville, TN 37075, United States)","
"
RCMSSAA - Finals at Greenbrier Middle (Time TBD),2025-01-18 04:00 PM,2025-01-18 04:30 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","
"
HS Wrestling - District 12 Duals - ER,2025-01-21 04:00 PM,2025-01-21 04:30 PM,,"
"
HS Wrestling - Region 6 Duals TBA,2025-01-23 08:00 AM,2025-01-23 08:30 AM,,"
"
HS Freshman Basketball @ White House,2025-01-23 06:00 PM,2025-01-23 07:30 PM,"White House High School (508 Tyree Springs Rd, White House, TN 37188, United States)","
"
HS Basketball Vs. Knowledge Academies,2025-01-24 06:00 PM,2025-01-24 07:30 PM,,"
"
HS Wrestling - Sectional Duals TBA,2025-01-25 08:00 AM,2025-01-25 08:30 AM,,"
"
HS Wrestling @ Friendship & Cascade TBA,2025-01-27 08:00 AM,2025-01-27 08:30 AM,"Friendship Christian School (5400 Coles Ferry Pike, Lebanon, TN 37087, United States)","
"
HS Freshman Basketball @ Heritage & Westmoreland,2025-01-27 05:00 PM,2025-01-27 08:00 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","
"
HS JV Basketball @ Liberty Creek,2025-01-28 03:30 PM,2025-01-28 05:00 PM,"Liberty Creek High School (100 Wolfpack Way, Gallatin, TN 37066, United States)","
"
HS Basketball @ Liberty Creek,2025-01-28 06:00 PM,2025-01-28 07:30 PM,"Liberty Creek High School (100 Wolfpack Way, Gallatin, TN 37066, United States)","
"
HS Freshman Basketball @ Liberty Creek,2025-01-30 05:00 PM,2025-01-30 06:30 PM,"Liberty Creek High School (100 Wolfpack Way, Gallatin, TN 37066, United States)","
"
HS Wrestling - State Duals @ Williamson Ag TBA,2025-01-31 08:00 AM,2025-01-31 08:30 AM,"Williamson County Agricultural Expo (4215 Long Ln, Franklin, TN 37064, United States)","
"
HS JV Basketball @ Jo Byrns,2025-01-31 03:30 PM,2025-01-31 05:00 PM,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","
"
HS Basketball @ Jo Byrns,2025-01-31 06:00 PM,2025-01-31 07:30 PM,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","
"
HS Wrestling - State Tournament Duals @ Williamson Ag TBA,2025-02-01 08:00 AM,2025-02-01 08:30 AM,"Williamson County Agricultural Expo (4215 Long Ln, Franklin, TN 37064, United States)","
"
HS Freshman Basketball Vs. Liberty Creek,2025-02-03 05:00 PM,2025-02-03 06:30 PM,,"
"
HS JV Basketball Vs. Todd County,2025-02-04 06:00 PM,2025-02-04 07:30 PM,,"
"
HS Boys Basketball Vs. Todd County,2025-02-04 07:30 PM,2025-02-04 09:00 PM,,"
"
HS JV Basketball @ Greenbrier,2025-02-06 03:30 PM,2025-02-06 05:00 PM,"Greenbrier High School (126 Cuniff Dr, Greenbrier, TN 37073, United States)","
"
HS Basketball @ Greenbrier,2025-02-06 06:00 PM,2025-02-06 07:30 PM,"Greenbrier High School (126 Cuniff Dr, Greenbrier, TN 37073, United States)","
"
HS JV Basketball Vs. Merrol Hyde,2025-02-07 03:45 PM,2025-02-07 05:15 PM,,"
"
HS Basketball Vs. Merrol Hyde,2025-02-07 06:00 PM,2025-02-07 07:30 PM,,"
"
HS Wrestling Individual Regionals TBA,2025-02-08 08:00 AM,2025-02-08 08:30 AM,,"
"
HS JV Basketball @ White House,2025-02-13 03:30 PM,2025-02-13 05:00 PM,"White House High School (508 Tyree Springs Rd, White House, TN 37188, United States)","
"
HS Basketball @ White House,2025-02-13 06:00 PM,2025-02-13 07:30 PM,"White House High School (508 Tyree Springs Rd, White House, TN 37188, United States)","
"
HS Basketball @ Knowledge Academies,2025-02-14 06:00 PM,2025-02-14 07:30 PM,"Knowledge Academies (5320 Hickory Hollow Pkwy, Nashville, TN 37013, United States)","
"
HS Wrestling Individual Sectionals TBA,2025-02-15 08:00 AM,2025-02-15 08:30 AM,,"
"
TSSAA District Tournaments - Girls' Semifinal - ER,2025-02-20 06:00 PM,2025-02-20 07:00 PM,,"
"
HS Wrestling Individual State @ Williamson Ag TBA,2025-02-21 08:00 AM,2025-02-21 08:30 AM,"Williamson County Agricultural Expo (4215 Long Ln, Franklin, TN 37064, United States)","
"
TSSAA District Tournament - Boys' Semifinal - ER,2025-02-21 06:00 PM,2025-02-21 07:00 PM,,"
"
HS Wrestling Individual State @ Williamson Ag TBA,2025-02-22 08:00 AM,2025-02-22 08:30 AM,"Williamson County Agricultural Expo (4215 Long Ln, Franklin, TN 37064, United States)","
"
TSSAA Tournament - Girls' Consolation & Final,2025-02-22 08:00 AM,2025-02-22 08:30 AM,,"
"
TSSAA Tournament - Boys' Consolation & Final,2025-02-24 06:00 PM,2025-02-24 07:00 PM,,"
"
TSSAA Girls' Region Quarterfinal - TBD,2025-02-28 08:00 AM,2025-02-28 08:30 AM,,"
"
TSSAA Boys' Region Quarterfinal - TBD,2025-03-01 08:00 AM,2025-03-01 08:30 AM,,"
"
TSSAA Girls Region Semifinal - Livingston Academy TBD,2025-03-03 08:00 AM,2025-03-03 08:30 AM,"Livingston Academy (120 Melvin Johnson Dr, Livingston, TN 38570, United States)","
"
TSSAA Boys' Region Quarterfinal - Livingston Academy TBD,2025-03-04 08:00 AM,2025-03-04 08:30 AM,"Livingston Academy (120 Melvin Johnson Dr, Livingston, TN 38570, United States)","
"
TSSAA Girls' Region Final - Livingston Academy TBD,2025-03-05 08:00 AM,2025-03-05 08:30 AM,"Livingston Academy (120 Melvin Johnson Dr, Livingston, TN 38570, United States)","
"
TSSAA Boys' Region Finals - Livingston Academy TBD,2025-03-06 08:00 AM,2025-03-06 08:30 AM,"Livingston Academy (120 Melvin Johnson Dr, Livingston, TN 38570, United States)","
"
HS Volleyball vs White House Heritage,2025-08-18 01:30 PM,2025-08-18 03:30 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","V - 1:30pm, JV - After
"
