Event Name,Event Start,Event End,Event Location,Event Description
Winter Grad,2025-01-17 06:00 PM,2025-01-17 07:00 PM,,"
"
In-Person Registration,2025-07-28 12:00 PM,2025-07-28 07:00 PM,,"If you need help completing your child's registration, staff will be available at your designated school on the following dates to provide support and answer any questions you may have.

For new students, please visit this webpage<https://www.rcstn.net/fs/pages/3295> to view enrollment requirements. Ensuring you have the correct documents will help make the registration process smooth and efficient.

"
In-Person Registration,2025-07-29 08:00 AM,2025-07-29 02:00 PM,,"If you need help completing your child's registration, staff will be available at your designated school on the following dates to provide support and answer any questions you may have.

For new students, please visit this webpage<https://www.rcstn.net/fs/pages/3295> to view enrollment requirements. Ensuring you have the correct documents will help make the registration process smooth and efficient.

"
Open House,2025-08-05 03:30 PM,2025-08-05 06:30 PM,,"Come meet teachers and staff and get information to make this school year great!
"
Fall Book Fair and Sucker Pull,2025-12-01,2025-12-06,,"In the library at ERHS
"
