Event Name,Event Start,Event End,Event Location,Event Description
Girls Soccer: Panther Play Day,8/2/25,8/3/25,"Portland High School (600 College St, Portland, TN 37148, United States)","
"
Golf v. Montgomery Central High School,8/6/25 15:30,8/6/25 19:00,"Swan Lake Golf Course (581 Dunbar Cave Rd, Clarksville, TN 37043, United States)","
"
Volleyball @ Portland Play Day,8/9/25,8/10/25,"Portland High School (600 College St, Portland, TN 37148, United States)","
"
Girls Soccer: @ Northeast,8/12/25 18:00,8/12/25 20:00,"Northeast High School (3701 Trenton Rd, Clarksville, TN 37040, United States)","
"
Pep Rally Off the Square,8/13/25 17:30,8/13/25 19:30,"Martin Luther King Jr. Park (2623 S Main St, Springfield, TN 37172-4820, US)","
"
Golf v. Creekwood High & Montgomery Central,8/14/25 15:30,8/14/25 19:00,"Montgomery Bell Golf Course (800 Hotel Ave, Burns, TN 37029, United States)","
"
Jackets Jamboree: Home v. Gallatin,8/15/25 19:00,8/15/25 21:00,"Springfield High School (5240 Highway 76 E, Springfield, TN 37172, United States)","1st Half - Jackets Varsity v. Gallatin Varsity
2nd Half - Jackets JV v. Gallatin JV

Admission - $10.00 (No passes accepted)
"
Golf: Tennessee Elite Invitational,8/18/25 8:00,8/18/25 14:00,"Swan Lake Golf Course (581 Dunbar Cave Rd, Clarksville, TN 37043, United States)","
"
Volleyball @ Jo Byrns,8/18/25 17:00,8/18/25 19:00,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","
"
Volleyball @ Greenbrier (In School Match),8/20/25 14:00,8/20/25 16:00,"Greenbrier High School (126 Cuniff Dr, Greenbrier, TN 37073, United States)","Varsity will play first
"
Golf v. Houston County High School,8/20/25 16:00,8/20/25 19:30,"The Legacy Golf Course (100 Ray Floyd Dr, Springfield, TN 37172, United States)","
"
Golf v. East Robertson High School,8/21/25 15:30,8/21/25 20:30,"Kenny Perry's Country Creek Golf Course (1075 Kenny Perry Dr, Franklin, KY 42134, United States)","
"
Girls Soccer: Home v. Smith County,8/21/25 17:30,8/21/25 19:30,"Springfield High school (5240 Highway 76 E, Springfield, TN 37172, United States)","
"
Football @ Rossview,8/22/25 19:00,8/22/25 21:00,"Rossview High School (1237 Rossview Rd, Clarksville, TN 37043, United States)","
"
Cross Country: Green Hill,8/23/25 8:30,8/23/25 10:30,,"
"
Golf: The RobCo Cup Golf Tournament,8/25/25 11:00,8/25/25 18:00,"The Legacy Golf Course (100 Ray Floyd Dr, Springfield, TN 37172, United States)","
"
Volleyball Home v. Kirkwood,8/26/25 17:00,8/26/25 19:00,"Springfield High school (5240 Highway 76 E, Springfield, TN 37172, United States)","
"
Girls Soccer: Home v. White House Heritage,8/26/25 17:00,8/26/25 19:00,"Springfield High school (5240 Highway 76 E, Springfield, TN 37172, United States)","
"
Golf v. Creekwood & Montgomery Central ,8/27/25 16:00,8/27/25 20:00,"The Legacy Golf Course (100 Ray Floyd Dr, Springfield, TN 37172, United States)","
"
Volleyball @ Gallatin,8/27/25 17:00,8/27/25 19:00,"Gallatin High School (700 Dan P Herron Dr, Gallatin, TN 37066, United States)","
"
Girls Soccer: Home v. Portland,8/28/25 17:00,8/28/25 19:00,"Springfield High school (5240 Highway 76 E, Springfield, TN 37172, United States)","
"
Volleyball Home v. Northeast,8/28/25 18:00,8/28/25 20:00,"Springfield High school (5240 Highway 76 E, Springfield, TN 37172, United States)","
"
Football: Home v. Clarksville,8/29/25 19:00,8/29/25 21:00,"Springfield High school (5240 Highway 76 E, Springfield, TN 37172, United States)","
"
Cross Country: Macon County,8/30/25 8:30,8/30/25 10:30,,"Girls: 8:30AM
Boys: 9:10AM
"
Golf: The Patriot Invitational,9/2/25 9:00,9/2/25 14:00,"Paris Landing State Park Golf Course (TN Golf Trail) (285 Golf Course Ln, Buchanan, TN 38222, United States)","
"
Volleyball Home v. Greenbrier (In School Match),9/2/25 14:00,9/2/25 16:00,"Springfield High school (5240 Highway 76 E, Springfield, TN 37172, United States)","
"
Golf v. Sycamore & Rossview,9/3/25 16:00,9/3/25 20:00,"The Legacy Golf Course (100 Ray Floyd Dr, Springfield, TN 37172, United States)","
"
Volleyball @ Clarksville ,9/4/25 17:00,9/4/25 19:00,"Clarksville High School (151 Richview Rd, Clarksville, TN 37043, United States)","
"
Girls Soccer: @ Macon County,9/4/25 18:30,9/4/25 20:30,"Macon County High School FFA (2550 Days Rd, Lafayette, TN 37083, United States)","
"
Golf @ The Creekwood Classic,9/5/25 8:00,9/5/25 14:00,"Montgomery Bell Golf Course (800 Hotel Ave, Burns, TN 37029, United States)","
"
Football: @ Portland,9/5/25 19:00,9/5/25 21:00,"Portland West Middle School (619 College St, Portland, TN 37148, United States)","
"
Cross Country: Voyles Classic,9/6/25 8:00,9/6/25 10:30,,"Boys: 8:15AM
Girls: 9:05AM
"
