Event Name,Event Start,Event End,Event Location,Event Description
Adv. English Field Trip,2025-02-19,2025-02-20,,"
"
FAFSA Night,2025-02-20,2025-02-21,,"
"
PTC,2025-02-20 03:30 PM,2025-02-20 06:30 PM,,"
"
Dual Enrollment Interest Meeting,2025-02-20 05:00 PM,2025-02-20 05:30 PM,,"
"
Wrestling Individual State Tournament,2025-02-21,2025-02-23,,"
"
Student Registration,2025-03-01 10:00 AM,2025-03-01 12:00 PM,,"
"
Job Shadowing Day for Juniors & Seniors,2025-03-05,2025-03-06,,"
"
Leadership Field Trip to Fisk University,2025-03-06,2025-03-07,,"
"
Maintenance Workers Appreciation Day,2025-03-07,2025-03-08,,"
"
VINSE Field Trip,2025-03-11,2025-03-12,,"
"
Third and Fourth Block Exams,2025-03-13 11:30 AM,2025-03-13 03:00 PM,,"
"
International Social & Emotional Learning Day,2025-03-14,2025-03-15,,"
"
First and Second Block Exams,2025-03-14 08:00 AM,2025-03-14 11:30 AM,,"
"
ACT Prep,2025-03-22 09:00 AM,2025-03-22 01:00 PM,,"
"
ACT Test-Juniors,2025-03-25,2025-03-26,,"
"
Make-up Exams,2025-03-25 03:00 PM,2025-03-25 05:00 PM,,"
"
ACT Make-ups,2025-03-27,2025-03-28,,"
"
Delivery of Cap and Gowns/Graduation Invitations,2025-03-28,2025-03-29,,"
"
English IV Field Trip,2025-03-28,2025-03-29,,"
"
National Assistant Principals Week,2025-03-31,2025-04-05,,"
"
Latin American Dance Day,2025-03-31,2025-04-01,,"
"
Paraprofessionals Day,2025-04-02,2025-04-03,,"
"
CTE Sponsored Career Fair,2025-04-03,2025-04-04,,"
"
National School Librarian Day,2025-04-04,2025-04-05,,"
"
Baseball v. SHS,2025-04-04 06:30 PM,2025-04-04 08:30 PM,,"
"
ACT Test Day,2025-04-05,2025-04-06,,"
"
National School Bus Driver Appreciation Day,2025-04-22,2025-04-23,,"
"
Math EOC Subpart I,2025-04-22 08:00 AM,2025-04-22 08:30 AM,,"
"
Math EOC Subpart II,2025-04-23,2025-04-24,,"
"
Administrative Professionals Day,2025-04-23,2025-04-24,,"
"
Math EOC Subpart III,2025-04-24,2025-04-25,,"
"
Biology EOC ,2025-04-29,2025-04-30,,"
"
US History EOC Subpart I,2025-04-30,2025-05-01,,"
"
US History EOC Subpart II,2025-05-01,2025-05-02,,"
"
National College Decision Day,2025-05-01,2025-05-02,,"
"
ASVAB Test-Juniors,2025-05-01,2025-05-02,,"
"
Academic Awards Night,2025-05-01 06:00 PM,2025-05-01 07:30 PM,,"
"
Cosmetology School Visits ,2025-05-02,2025-05-03,,"
"
School Lunch HERO DAY,2025-05-02,2025-05-03,,"
"
Yearbook Signing ,2025-05-02 02:00 PM,2025-05-02 02:30 PM,,"
"
Senior Decision Week,2025-05-05,2025-05-10,,"
"
Teacher Appreciation Week,2025-05-05,2025-05-10,,"
"
TCAT Field Trip (during class block),2025-05-05,2025-05-06,,"
"
Cosmetology Salon Visits,2025-05-06,2025-05-07,,"
"
Senior Sunset,2025-05-06 06:30 PM,2025-05-06 08:30 PM,,"
"
National School Nurse's Day,2025-05-07,2025-05-08,,"
"
English Lit AP Exam,2025-05-07 08:00 AM,2025-05-07 01:00 PM,,"
"
MyPlate Field Trip to GES,2025-05-07 11:30 AM,2025-05-07 01:30 PM,,"
"
Senior Exams-Third and Fourth Block,2025-05-08 11:30 AM,2025-05-08 03:00 PM,,"
"
Senior Exams-1st and 2nd Block,2025-05-09 08:00 AM,2025-05-09 11:30 AM,,"
"
Honorary Diplomas & Senior Walk,2025-05-09 12:00 PM,2025-05-09 01:00 PM,,"
"
English Lang AP Exam,2025-05-14,2025-05-15,,"
"
FFA UT Highland Rim Research Station Tour,2025-05-16,2025-05-17,,"
"
Baccalaureate,2025-05-18 06:00 PM,2025-05-18 07:00 PM,,"
"
GHS Graduation Practice,2025-05-19 09:00 AM,2025-05-19 10:00 AM,,"
"
GHS Graduation ,2025-05-19 06:00 PM,2025-05-19 08:00 PM,,"
"
Third & Fourth Block Exams,2025-05-20 11:30 AM,2025-05-20 03:00 PM,,"
"
First & Second Block Exams,2025-05-21 08:00 AM,2025-05-21 11:30 AM,,"
"
Report Card Day Pick-up,2025-05-23 08:00 AM,2025-05-23 10:30 AM,,"
"
