Event Name,Event Start,Event End,Event Location,Event Description
Biology EOC,4/29/25,,,"
"
US History EOC Part 1,4/30/25,,,"
"
US History EOC Part 2,5/1/25,,,"
"
Choir Spring Concert,5/1/25 19:00,5/1/25 20:00,,"
"
Special Olympics Send Off,5/2/25 8:00,5/2/25 9:00,,"
"
Springfield High School Graduation,5/15/25 19:00,5/15/25 21:00,"Springfield High School (5240 Highway 76 E, Springfield, TN 37172, United States)","
"
Senior Pictures - Cafeteria,7/15/25,,,
Senior Pictures - Cafeteria,7/16/25,,,
Senior Pictures - Cafeteria,7/17/25,,,
